Elevation_mid,segment,SD_pteridophyte,SR_pteridophyte,SR_lycopod,SR_fern,bio1,bio4,bio6,bio12,bio14,bio15
3250,upper,53.46039649,169,8,161,-0.547609042,0.524485313,-0.546379626,-0.037402426,0.836471442,-0.613782025
3350,upper,51.8901188,165,7,158,-0.611371722,0.593226551,-0.611659627,-0.060193448,0.964301198,-0.713226541
3450,upper,49.58336038,157,8,149,-0.675867306,0.669219652,-0.679853915,-0.200397531,0.90038632,-0.692290854
3550,upper,42.76341617,135,8,127,-0.740851493,0.761961524,-0.746299631,-0.428569722,0.877144546,-0.84538307
3650,upper,32.91677693,103,9,94,-0.80742364,0.860761464,-0.822187633,-0.739680277,0.737693903,-0.850616992
3750,upper,30.29700555,95,8,87,-0.870331265,0.918224007,-0.878491634,-0.77211164,0.720262573,-0.863701797
3850,upper,28.1983374,88,8,80,-0.934093945,1.005477984,-0.947851636,-0.929657858,0.743504346,-0.944827587
3950,upper,23.83061886,75,8,67,-0.995169308,1.071421821,-1.008235637,-1.126551335,0.667968581,-1.020719455
4050,upper,16.88326209,53,4,49,-1.056000371,1.115610072,-1.065938496,-1.051838696,0.760935677,-1.016794013
4150,upper,13.97959342,44,3,41,-1.115854228,1.175638385,-1.127954498,-1.140173555,0.697020799,-1.027261857
4250,upper,10.99284123,35,2,33,-1.18010551,1.265529403,-1.196032214,-1.485182482,0.604053703,-1.156801425
4350,upper,7.806230122,25,1,24,-1.237760654,1.306670802,-1.250937358,-1.340158229,0.801608781,-1.222225449
4450,upper,6.858114048,22,0,22,-1.297614511,1.358912718,-1.31376936,-1.549364097,0.656347694,-1.231384812
4550,upper,4.344525009,14,0,14,-1.3546589,1.404882753,-1.367159075,-1.637803743,0.801608781,-1.288957954
4650,upper,3.698200755,12,0,12,-1.413779853,1.467476835,-1.427193363,-1.764752358,0.697020799,-1.372700705
4750,upper,3.406759348,11,0,11,-1.472290051,1.520449282,-1.488743078,-1.883946786,0.842281885,-1.434199287
4850,upper,2.14498322,7,0,7,-1.531166702,1.580727045,-1.544114508,-2.013462665,0.697020799,-1.443358651
4950,upper,1.526124372,5,0,5,-1.588088941,1.632915507,-1.600651653,-2.19751982,0.76674612,-1.537569245
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
